"z_id","address","dateSold","price","beds","baths","house_area"
"zpid_42716736","215 SW 40th Ter, Gainesville, FL",2016-12-02,150000,3,2,1767
"zpid_70737541","1257 SW 9th Rd APT 212, Gainesville, FL",2016-12-02,262500,3,3,1326
"zpid_42722363","9702 SW 35th Ln, Gainesville, FL",2016-12-02,365000,4,2,2407
"zpid_42701973","8620 NW 13th St LOT 8, Gainesville, FL",2016-12-02,80000,2,2,1312
"zpid_42731352","1015 NW 8th St, Gainesville, FL",2016-12-02,157500,4,2,1645
"zpid_42708839","4620 NW 30th St, Gainesville, FL",2016-12-02,145000,4,2,1789
"zpid_42707533","4026 NW 34th Dr, Gainesville, FL",2016-12-02,195000,3,2,1821
"zpid_70607459","4910 NW 20th Dr, Gainesville, FL",2016-12-01,205000,4,3,2270
"zpid_42708019","4125 NW 23rd Dr, Gainesville, FL",2016-12-01,179900,3,2,1571
"zpid_42702351","8620 NW 13th St LOT 385, Gainesville, FL",2016-12-01,80000,2,2,864
"zpid_42709770","3840 NW 33rd Pl, Gainesville, FL",2016-12-01,237000,4,2,1800
"zpid_42731431","229 NW 15th Ave, Gainesville, FL",2016-12-01,92000,4,3,1837
"zpid_42707926","2616 NW 48th Pl, Gainesville, FL",2016-12-01,129900,3,2,1240
"zpid_42716063","2912 W University Ave, Gainesville, FL",2016-12-01,110800,3,2,2181
"zpid_102963307","2033 NW 76th Pl, Gainesville, FL",2016-12-01,120500,3,2,1250
"zpid_42714906","3721 NW 21st Pl, Gainesville, FL",2016-12-01,170000,3,2,1647
"zpid_42715501","1416 NW 25th Ter, Gainesville, FL",2016-12-01,102383,4,2,1948
"zpid_42712181","2320 NW 106th Dr, Gainesville, FL",2016-12-01,260000,3,2,1793
"zpid_42713348","2121 NW 54th Ter, Gainesville, FL",2016-11-30,149500,3,2,1801
"zpid_42715296","2941 NW 21st Ave, Gainesville, FL",2016-11-30,3e+05,4,3,2928
"zpid_42721802","4423 SW 102nd Dr, Gainesville, FL",2016-11-30,284900,3,2,2454
"zpid_42721555","9910 SW 56th Ln, Gainesville, FL",2016-11-30,230000,4,2,1756
"zpid_42704391","6133 NW 35th Ter, Gainesville, FL",2016-11-30,229000,4,2,2240
"zpid_42721087","4612 SW 85th Dr, Gainesville, FL",2016-11-30,167000,2,2,1196
"zpid_42705818","9414 NW 59th Ln, Gainesville, FL",2016-11-29,310000,4,2,2289
"zpid_42720569","7711 SW 56th Ave, Gainesville, FL",2016-11-29,150000,3,2,1196
"zpid_42721567","10026 SW 55th Ln, Gainesville, FL",2016-11-29,3e+05,4,2,2183
"zpid_42722328","3708 SW 96th St, Gainesville, FL",2016-11-29,431000,5,3.5,2556
"zpid_42721716","4866 SW 95th Ter, Gainesville, FL",2016-11-28,480000,4,4,3403
"zpid_42705768","9703 NW 62nd Ln, Gainesville, FL",2016-11-28,282500,3,2,2510
"zpid_42722070","4711 SW 97th Ter, Gainesville, FL",2016-11-28,655000,4,4,4002
"zpid_58881360","1717 NW 23rd Ave, Gainesville, FL",2016-11-28,165000,3,3,1852
"zpid_42713330","2241 NW 51st Ter, Gainesville, FL",2016-11-28,195000,3,2,1700
"zpid_42722003","9318 SW 43rd Ln, Gainesville, FL",2016-11-28,384000,4,3,2862
"zpid_42709255","3232 NW 31st St, Gainesville, FL",2016-11-28,128100,4,4,2241
"zpid_42719081","7218 SW 22nd Pl, Gainesville, FL",2016-11-23,157000,3,2,1660
"zpid_42727276","4006 NW 21st Dr, Gainesville, FL",2016-11-23,161000,3,2,1472
"zpid_42705456","6820 NW 57th Way, Gainesville, FL",2016-11-23,189900,7,6,3800
"zpid_42715706","16 SW 25th St, Gainesville, FL",2016-11-23,255000,6,4,1764
"zpid_42716713","16 SW 40th St, Gainesville, FL",2016-11-23,195000,3,2.5,2099
